Date,Day_of_Week,Item_ID,Item_Name,Category,Unit_Price_LKR,Discount_Applied,Starting_Stock,Quantity_Sold,Closing_Stock,Total_Revenue_LKR,Is_Holiday_Season
2025-01-03,Friday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,166,18,148,3960.0,0
2025-01-03,Friday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,345,18,327,15300.0,0
2025-01-03,Friday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,348,18,330,8100.0,0
2025-01-03,Friday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,190,10,180,2300.0,0
2025-01-03,Friday,PER-002,Lifebuoy Soap,Personal Care,150,0%,310,33,277,4950.0,0
2025-01-04,Saturday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,300,19,281,23750.0,0
2025-01-04,Saturday,GRO-002,Nadu Rice 5kg,Grocery,1100,10%,138,35,103,34650.0,0
2025-01-04,Saturday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,239,46,193,17480.0,0
2025-01-04,Saturday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,208,25,183,28750.0,0
2025-01-04,Saturday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,364,19,345,14250.0,0
2025-01-04,Saturday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,138,33,105,8250.0,0
2025-01-04,Saturday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,128,44,84,13200.0,0
2025-01-04,Saturday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,148,42,106,9240.0,0
2025-01-04,Saturday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,327,16,311,13600.0,0
2025-01-04,Saturday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,330,25,305,11250.0,0
2025-01-04,Saturday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,180,18,162,4140.0,0
2025-01-04,Saturday,PER-002,Lifebuoy Soap,Personal Care,150,0%,277,37,240,5550.0,0
2025-01-05,Sunday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,281,14,267,17500.0,0
2025-01-05,Sunday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,103,26,77,28600.0,0
2025-01-05,Sunday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,193,51,142,19380.0,0
2025-01-05,Sunday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,183,28,155,32200.0,0
2025-01-05,Sunday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,345,11,334,8250.0,0
2025-01-05,Sunday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,105,49,56,12250.0,0
2025-01-05,Sunday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,84,33,51,9900.0,0
2025-01-05,Sunday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,106,29,77,6380.0,0
2025-01-05,Sunday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,311,18,293,15300.0,0
2025-01-05,Sunday,BEV-001,Coca Cola 1.5L,Beverages,450,10%,305,22,283,8910.0,0
2025-01-05,Sunday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,162,14,148,3220.0,0
2025-01-05,Sunday,PER-002,Lifebuoy Soap,Personal Care,150,0%,240,30,210,4500.0,0
2025-01-06,Monday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,267,14,253,17500.0,0
2025-01-06,Monday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,77,24,53,26400.0,0
2025-01-06,Monday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,142,41,101,15580.0,0
2025-01-06,Monday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,10%,155,16,139,16560.0,0
2025-01-06,Monday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,334,12,322,9000.0,0
2025-01-06,Monday,SNA-001,Munchee Super Cream Cracker,Snacks,250,10%,56,52,4,11700.0,0
2025-01-06,Monday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,51,29,22,8700.0,0
2025-01-06,Monday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,77,17,60,3740.0,0
2025-01-06,Monday,PAN-002,Marina Coconut Oil 1L,Pantry,850,10%,293,22,271,16830.0,0
2025-01-06,Monday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,283,22,261,9900.0,0
2025-01-06,Monday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,148,12,136,2760.0,0
2025-01-06,Monday,PER-002,Lifebuoy Soap,Personal Care,150,0%,210,41,169,6150.0,0
2025-01-07,Tuesday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,253,13,240,16250.0,0
2025-01-07,Tuesday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,53,16,37,17600.0,0
2025-01-07,Tuesday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,101,34,67,12920.0,0
2025-01-07,Tuesday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,139,24,115,27600.0,0
2025-01-07,Tuesday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,322,9,313,6750.0,0
2025-01-07,Tuesday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,204,47,157,11750.0,0
2025-01-07,Tuesday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,222,26,196,7800.0,0
2025-01-07,Tuesday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,60,22,38,4840.0,0
2025-01-07,Tuesday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,271,13,258,11050.0,0
2025-01-07,Tuesday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,261,24,237,10800.0,0
2025-01-07,Tuesday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,136,13,123,2990.0,0
2025-01-07,Tuesday,PER-002,Lifebuoy Soap,Personal Care,150,0%,169,33,136,4950.0,0
2025-01-08,Wednesday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,240,21,219,26250.0,0
2025-01-08,Wednesday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,237,17,220,18700.0,0
2025-01-08,Wednesday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,67,35,32,13300.0,0
2025-01-08,Wednesday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,115,22,93,25300.0,0
2025-01-08,Wednesday,DAI-002,Kotmale Butter 200g,Dairy,750,10%,313,14,299,9450.0,0
2025-01-08,Wednesday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,157,44,113,11000.0,0
2025-01-08,Wednesday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,196,23,173,6900.0,0
2025-01-08,Wednesday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,238,24,214,5280.0,0
2025-01-08,Wednesday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,258,20,238,17000.0,0
2025-01-08,Wednesday,BEV-001,Coca Cola 1.5L,Beverages,450,10%,237,16,221,6480.0,0
2025-01-08,Wednesday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,123,18,105,4140.0,0
2025-01-08,Wednesday,PER-002,Lifebuoy Soap,Personal Care,150,0%,136,37,99,5550.0,0
2025-01-09,Thursday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,219,13,206,16250.0,0
2025-01-09,Thursday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,220,17,203,18700.0,0
2025-01-09,Thursday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,232,38,194,14440.0,0
2025-01-09,Thursday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,93,27,66,31050.0,0
2025-01-09,Thursday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,299,14,285,10500.0,0
2025-01-09,Thursday,SNA-001,Munchee Super Cream Cracker,Snacks,250,10%,113,47,66,10575.0,0
2025-01-09,Thursday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,173,23,150,6900.0,0
2025-01-09,Thursday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,214,18,196,3960.0,0
2025-01-09,Thursday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,238,19,219,16150.0,0
2025-01-09,Thursday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,221,16,205,7200.0,0
2025-01-09,Thursday,PER-001,Signal Toothpaste 120g,Personal Care,230,10%,105,16,89,3312.0,0
2025-01-09,Thursday,PER-002,Lifebuoy Soap,Personal Care,150,0%,99,32,67,4800.0,0
2025-01-10,Friday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,206,23,183,28750.0,1
2025-01-10,Friday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,203,37,166,40700.0,1
2025-01-10,Friday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,194,52,142,19760.0,1
2025-01-10,Friday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,10%,66,28,38,28980.0,1
2025-01-10,Friday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,285,25,260,18750.0,1
2025-01-10,Friday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,66,35,31,8750.0,0
2025-01-10,Friday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,150,29,121,8700.0,0
2025-01-10,Friday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,196,22,174,4840.0,0
2025-01-10,Friday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,219,18,201,15300.0,0
2025-01-10,Friday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,205,13,192,5850.0,0
2025-01-10,Friday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,89,14,75,3220.0,0
2025-01-10,Friday,PER-002,Lifebuoy Soap,Personal Care,150,0%,67,28,39,4200.0,0
2025-01-11,Saturday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,183,32,151,40000.0,1
2025-01-11,Saturday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,166,37,129,40700.0,1
2025-01-11,Saturday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,142,79,63,30020.0,1
2025-01-11,Saturday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,238,52,186,59800.0,1
2025-01-11,Saturday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,260,39,221,29250.0,1
2025-01-11,Saturday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,231,62,169,15500.0,0
2025-01-11,Saturday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,121,37,84,11100.0,0
2025-01-11,Saturday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,174,39,135,8580.0,0
2025-01-11,Saturday,PAN-002,Marina Coconut Oil 1L,Pantry,850,10%,201,26,175,19890.0,0
2025-01-11,Saturday,BEV-001,Coca Cola 1.5L,Beverages,450,10%,192,23,169,9315.0,0
2025-01-11,Saturday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,75,19,56,4370.0,0
2025-01-11,Saturday,PER-002,Lifebuoy Soap,Personal Care,150,0%,239,32,207,4800.0,0
2025-01-12,Sunday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,151,39,112,48750.0,1
2025-01-12,Sunday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,129,37,92,40700.0,1
2025-01-12,Sunday,GRO-003,Mysore Dhal 1kg,Grocery,380,10%,63,63,0,21546.0,1
2025-01-12,Sunday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,186,66,120,75900.0,1
2025-01-12,Sunday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,221,37,184,27750.0,1
2025-01-12,Sunday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,169,54,115,13500.0,0
2025-01-12,Sunday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,84,47,37,14100.0,0
2025-01-12,Sunday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,135,28,107,6160.0,0
2025-01-12,Sunday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,175,25,150,21250.0,0
2025-01-12,Sunday,BEV-001,Coca Cola 1.5L,Beverages,450,10%,169,16,153,6480.0,0
2025-01-12,Sunday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,56,11,45,2530.0,0
2025-01-12,Sunday,PER-002,Lifebuoy Soap,Personal Care,150,0%,207,33,174,4950.0,0
2025-01-13,Monday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,112,30,82,37500.0,1
2025-01-13,Monday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,92,36,56,39600.0,1
2025-01-13,Monday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,200,43,157,16340.0,1
2025-01-13,Monday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,120,55,65,63250.0,1
2025-01-13,Monday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,184,21,163,15750.0,1
2025-01-13,Monday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,115,33,82,8250.0,0
2025-01-13,Monday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,237,30,207,9000.0,0
2025-01-13,Monday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,107,21,86,4620.0,0
2025-01-13,Monday,PAN-002,Marina Coconut Oil 1L,Pantry,850,10%,150,20,130,15300.0,0
2025-01-13,Monday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,153,19,134,8550.0,0
2025-01-13,Monday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,45,13,32,2990.0,0
2025-01-13,Monday,PER-002,Lifebuoy Soap,Personal Care,150,0%,174,26,148,3900.0,0
2025-01-14,Tuesday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,82,25,57,31250.0,1
2025-01-14,Tuesday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,56,45,11,49500.0,1
2025-01-14,Tuesday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,157,50,107,19000.0,1
2025-01-14,Tuesday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,65,57,8,65550.0,1
2025-01-14,Tuesday,DAI-002,Kotmale Butter 200g,Dairy,750,10%,163,21,142,14175.0,1
2025-01-14,Tuesday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,82,33,49,8250.0,0
2025-01-14,Tuesday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,207,31,176,9300.0,0
2025-01-14,Tuesday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,86,19,67,4180.0,0
2025-01-14,Tuesday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,130,18,112,15300.0,0
2025-01-14,Tuesday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,134,19,115,8550.0,0
2025-01-14,Tuesday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,232,12,220,2760.0,0
2025-01-14,Tuesday,PER-002,Lifebuoy Soap,Personal Care,150,0%,148,29,119,4350.0,0
2025-01-15,Wednesday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,57,25,32,31250.0,1
2025-01-15,Wednesday,GRO-002,Nadu Rice 5kg,Grocery,1100,10%,211,34,177,33660.0,1
2025-01-15,Wednesday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,107,61,46,23180.0,1
2025-01-15,Wednesday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,208,57,151,65550.0,1
2025-01-15,Wednesday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,142,14,128,10500.0,1
2025-01-15,Wednesday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,49,34,15,8500.0,0
2025-01-15,Wednesday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,176,32,144,9600.0,0
2025-01-15,Wednesday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,67,23,44,5060.0,0
2025-01-15,Wednesday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,112,17,95,14450.0,0
2025-01-15,Wednesday,BEV-001,Coca Cola 1.5L,Beverages,450,10%,115,24,91,9720.0,0
2025-01-15,Wednesday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,220,16,204,3680.0,0
2025-01-15,Wednesday,PER-002,Lifebuoy Soap,Personal Care,150,0%,119,32,87,4800.0,0
2025-01-16,Thursday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,232,11,221,13750.0,0
2025-01-16,Thursday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,177,23,154,25300.0,0
2025-01-16,Thursday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,46,25,21,9500.0,0
2025-01-16,Thursday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,151,26,125,29900.0,0
2025-01-16,Thursday,DAI-002,Kotmale Butter 200g,Dairy,750,10%,128,15,113,10125.0,0
2025-01-16,Thursday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,215,33,182,8250.0,0
2025-01-16,Thursday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,144,31,113,9300.0,0
2025-01-16,Thursday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,44,18,26,3960.0,0
2025-01-16,Thursday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,95,22,73,18700.0,0
2025-01-16,Thursday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,91,19,72,8550.0,0
2025-01-16,Thursday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,204,13,191,2990.0,0
2025-01-16,Thursday,PER-002,Lifebuoy Soap,Personal Care,150,0%,87,33,54,4950.0,0
2025-01-17,Friday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,221,16,205,20000.0,0
2025-01-17,Friday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,154,11,143,12100.0,0
2025-01-17,Friday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,221,30,191,11400.0,0
2025-01-17,Friday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,125,27,98,31050.0,0
2025-01-17,Friday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,113,11,102,8250.0,0
2025-01-17,Friday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,182,30,152,7500.0,0
2025-01-17,Friday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,113,29,84,8700.0,0
2025-01-17,Friday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,226,25,201,5500.0,0
2025-01-17,Friday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,73,13,60,11050.0,0
2025-01-17,Friday,BEV-001,Coca Cola 1.5L,Beverages,450,10%,72,21,51,8505.0,0
2025-01-17,Friday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,191,14,177,3220.0,0
2025-01-17,Friday,PER-002,Lifebuoy Soap,Personal Care,150,10%,54,30,24,4050.0,0
2025-01-18,Saturday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,205,12,193,15000.0,0
2025-01-18,Saturday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,143,36,107,39600.0,0
2025-01-18,Saturday,GRO-003,Mysore Dhal 1kg,Grocery,380,10%,191,47,144,16074.0,0
2025-01-18,Saturday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,98,33,65,37950.0,0
2025-01-18,Saturday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,102,12,90,9000.0,0
2025-01-18,Saturday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,152,33,119,8250.0,0
2025-01-18,Saturday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,84,37,47,11100.0,0
2025-01-18,Saturday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,201,36,165,7920.0,0
2025-01-18,Saturday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,60,22,38,18700.0,0
2025-01-18,Saturday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,51,26,25,11700.0,0
2025-01-18,Saturday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,177,25,152,5750.0,0
2025-01-18,Saturday,PER-002,Lifebuoy Soap,Personal Care,150,10%,224,47,177,6345.0,0
2025-01-19,Sunday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,193,21,172,26250.0,0
2025-01-19,Sunday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,107,23,84,25300.0,0
2025-01-19,Sunday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,144,33,111,12540.0,0
2025-01-19,Sunday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,65,43,22,49450.0,0
2025-01-19,Sunday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,90,16,74,12000.0,0
2025-01-19,Sunday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,119,54,65,13500.0,0
2025-01-19,Sunday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,47,35,12,10500.0,0
2025-01-19,Sunday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,165,26,139,5720.0,0
2025-01-19,Sunday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,238,25,213,21250.0,0
2025-01-19,Sunday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,225,28,197,12600.0,0
2025-01-19,Sunday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,152,22,130,5060.0,0
2025-01-19,Sunday,PER-002,Lifebuoy Soap,Personal Care,150,0%,177,42,135,6300.0,0
2025-01-20,Monday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,172,16,156,20000.0,0
2025-01-20,Monday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,84,25,59,27500.0,0
2025-01-20,Monday,GRO-003,Mysore Dhal 1kg,Grocery,380,10%,111,31,80,10602.0,0
2025-01-20,Monday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,222,36,186,41400.0,0
2025-01-20,Monday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,74,10,64,7500.0,0
2025-01-20,Monday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,65,39,26,9750.0,0
2025-01-20,Monday,SNA-002,Maliban Lemon Puff,Snacks,300,10%,212,32,180,8640.0,0
2025-01-20,Monday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,139,18,121,3960.0,0
2025-01-20,Monday,PAN-002,Marina Coconut Oil 1L,Pantry,850,10%,213,21,192,16065.0,0
2025-01-20,Monday,BEV-001,Coca Cola 1.5L,Beverages,450,10%,197,13,184,5265.0,0
2025-01-20,Monday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,130,11,119,2530.0,0
2025-01-20,Monday,PER-002,Lifebuoy Soap,Personal Care,150,0%,135,33,102,4950.0,0
2025-01-21,Tuesday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,156,16,140,20000.0,0
2025-01-21,Tuesday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,59,24,35,26400.0,0
2025-01-21,Tuesday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,80,36,44,13680.0,0
2025-01-21,Tuesday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,10%,186,30,156,31050.0,0
2025-01-21,Tuesday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,64,13,51,9750.0,0
2025-01-21,Tuesday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,226,28,198,7000.0,0
2025-01-21,Tuesday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,180,19,161,5700.0,0
2025-01-21,Tuesday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,121,19,102,4180.0,0
2025-01-21,Tuesday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,192,16,176,13600.0,0
2025-01-21,Tuesday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,184,13,171,5850.0,0
2025-01-21,Tuesday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,119,16,103,3680.0,0
2025-01-21,Tuesday,PER-002,Lifebuoy Soap,Personal Care,150,0%,102,38,64,5700.0,0
2025-01-22,Wednesday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,140,15,125,18750.0,0
2025-01-22,Wednesday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,235,23,212,25300.0,0
2025-01-22,Wednesday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,44,28,16,10640.0,0
